L_min,channel,tau_quantile,tau_value,show_rate_val,recall_at_10_given_shown_val,recall_at_10_overall_val,ci95_low,ci95_high
10,max_score,0.5,0.9829515546560287,0.5,0.9213545521835678,0.8585307179866766,0.914147307379634,0.9284692176569408
10,max_score,0.6,0.9898635113239288,0.3999814951887491,0.9275965764515383,0.8585307179866766,0.9198833461511313,0.9344116336595634
10,max_score,0.7,0.996967122554779,0.3000555144337528,0.9352451433857539,0.8585307179866766,0.926199616313928,0.943325375394498
10,max_score,0.8,1.0,0.25656920799407845,0.9390551749008295,0.8585307179866766,0.9297375848384197,0.9484869621878311
10,max_score,0.9,1.0,0.25656920799407845,0.9390551749008295,0.8585307179866766,0.930025956284153,0.9481224001255535
10,max_score,0.95,1.0,0.25656920799407845,0.9390551749008295,0.8585307179866766,0.9303763902968963,0.9471938926406718
10,max_score_calibrated,0.5,0.4343598055105348,0.8959104367135455,0.8762780130124961,0.8585307179866766,0.8698635848883749,0.8829252512018622
10,max_score_calibrated,0.6,0.4343598055105348,0.8959104367135455,0.8762780130124961,0.8585307179866766,0.8699314932687756,0.8830123406904957
10,max_score_calibrated,0.7,0.592,0.3860103626943005,0.9280920421860019,0.8585307179866766,0.9194893379802395,0.9368932050157407
10,max_score_calibrated,0.8,0.6842105263157895,0.25656920799407845,0.9390551749008295,0.8585307179866766,0.9299223138837747,0.9475122456340388
10,max_score_calibrated,0.9,0.6842105263157895,0.25656920799407845,0.9390551749008295,0.8585307179866766,0.9292711990643411,0.9469108438633005
10,max_score_calibrated,0.95,0.6842105263157895,0.25656920799407845,0.9390551749008295,0.8585307179866766,0.9299336684145664,0.9471451711536538
10,margin,0.5,0.04058445990085602,0.5,0.904700222057735,0.8585307179866766,0.8973146126869929,0.9116900216479848
10,margin,0.6,0.05337288141250609,0.3999814951887491,0.91441128845709,0.8585307179866766,0.9069950576208103,0.9231760334125466
10,margin,0.7,0.07014944344758989,0.3000555144337528,0.9250693802035153,0.8585307179866766,0.915607069255436,0.9339805628947305
10,margin,0.8,0.09102353930473335,0.20003700962250184,0.9375578168362627,0.8585307179866766,0.9279933110367893,0.9478837808063876
10,margin,0.9,0.12414078235626233,0.10001850481125092,0.9537465309898242,0.8585307179866766,0.9404172977092384,0.9661407622505129
10,margin,0.95,0.1544629797339439,0.05005551443375278,0.9574861367837338,0.8585307179866766,0.9413722322646776,0.9736110222790747
10,entropy,0.5,2.3014721580437616,0.5,0.7992227979274611,0.8585307179866766,0.7893738507205906,0.8095129729310988
10,entropy,0.6,2.3016867064499733,0.3999814951887491,0.7839463335646542,0.8585307179866766,0.7712798116317401,0.7965465707331042
10,entropy,0.7,2.301877406779743,0.3000555144337528,0.7674992291088498,0.8585307179866766,0.7526451957462098,0.7818433928655135
10,entropy,0.8,2.302043531171586,0.20003700962250184,0.7437557816836263,0.8585307179866766,0.7242332831543443,0.7605769978989961
10,entropy,0.9,2.3022148795287025,0.10001850481125092,0.6891766882516188,0.8585307179866766,0.6568627921549806,0.7168101961704006
10,entropy,0.95,2.30231533113262,0.05005551443375278,0.6432532347504621,0.8585307179866766,0.6005027422303474,0.682424670433145
10,normalized_gap,0.5,0.04152857043748102,0.5,0.9035899333826795,0.8585307179866766,0.8962034274803833,0.9111896992919011
10,normalized_gap,0.6,0.054327585815443384,0.3999814951887491,0.9141799676150821,0.8585307179866766,0.9061465500711924,0.9221739192978288
10,normalized_gap,0.7,0.07104402769827928,0.3000555144337528,0.9244526672833796,0.8585307179866766,0.9146377459749553,0.9328178857210327
10,normalized_gap,0.8,0.09185701552387533,0.20003700962250184,0.9357076780758556,0.8585307179866766,0.9249185976312906,0.9446517240025513
10,normalized_gap,0.9,0.12469911592649799,0.10001850481125092,0.9509713228492137,0.8585307179866766,0.9377841670797681,0.9629162349245489
10,normalized_gap,0.95,0.1546538807795999,0.05005551443375278,0.9574861367837338,0.8585307179866766,0.9397843682476711,0.9743962844229556
10,ensemble,0.5,0.7086556800832817,0.5,0.9213545521835678,0.8585307179866766,0.9144413519091714,0.9282797323723653
10,ensemble,0.6,0.7121116584172319,0.3999814951887491,0.9275965764515383,0.8585307179866766,0.9200432840970074,0.9340883063355939
10,ensemble,0.7,0.7944835612773895,0.3000555144337528,0.9352451433857539,0.8585307179866766,0.926338934457941,0.9436274141493882
10,ensemble,0.8,0.8421052631578947,0.25656920799407845,0.9390551749008295,0.8585307179866766,0.9298162024656966,0.9478919567226068
10,ensemble,0.9,0.8421052631578947,0.25656920799407845,0.9390551749008295,0.8585307179866766,0.9313107828456146,0.947113868475753
10,ensemble,0.95,0.8421052631578947,0.25656920799407845,0.9390551749008295,0.8585307179866766,0.9303612623012255,0.9480686758918115
20,max_score,0.5,0.9831317901611327,0.5000467508181393,0.9216529543754675,0.8597475455820477,0.9150088502804858,0.9293240820901215
20,max_score,0.6,0.9899740040302276,0.4,0.9277699859747546,0.8597475455820477,0.9194270231547812,0.9357154516366122
20,max_score,0.7,0.9970137155056,0.3000467508181393,0.9354939233406045,0.8597475455820477,0.9278810297043733,0.9439010945220764
20,max_score,0.8,1.0,0.25759700794763907,0.9390199637023593,0.8597475455820477,0.9302062521406553,0.9469467136737518
20,max_score,0.9,1.0,0.25759700794763907,0.9390199637023593,0.8597475455820477,0.9300090658726305,0.9470193478101809
20,max_score,0.95,1.0,0.25759700794763907,0.9390199637023593,0.8597475455820477,0.9303896571077463,0.9482739122355253
20,max_score_calibrated,0.5,0.4343598055105348,0.8985507246376812,0.8760665972944849,0.8597475455820477,0.8699223991550215,0.8823346312036844
20,max_score_calibrated,0.6,0.4343598055105348,0.8985507246376812,0.8760665972944849,0.8597475455820477,0.870103026330785,0.8818966553623222
20,max_score_calibrated,0.7,0.592,0.387190275829827,0.9280367061096354,0.8597475455820477,0.9200538737965147,0.9357223788557012
20,max_score_calibrated,0.8,0.6842105263157895,0.25759700794763907,0.9390199637023593,0.8597475455820477,0.9299530687588895,0.9478539036430147
20,max_score_calibrated,0.9,0.6842105263157895,0.25759700794763907,0.9390199637023593,0.8597475455820477,0.9298309073482649,0.9475275844202801
20,max_score_calibrated,0.95,0.6842105263157895,0.25759700794763907,0.9390199637023593,0.8597475455820477,0.9303450251062247,0.9478825756708854
20,margin,0.5,0.040797358751297086,0.5000467508181393,0.9048242333582648,0.8597475455820477,0.897554144884242,0.9124884723365261
20,margin,0.6,0.053608648777007904,0.4,0.9151472650771388,0.8597475455820477,0.9074490174413887,0.9227492401439935
20,margin,0.7,0.07025082707405095,0.3000467508181393,0.9258335930196323,0.8597475455820477,0.9148259307076229,0.9337382354041517
20,margin,0.8,0.09097069382667548,0.2,0.9378214118747078,0.8597475455820477,0.9251981245650418,0.9474184873453816
20,margin,0.9,0.12382631063461302,0.10004675081813932,0.9542056074766355,0.8597475455820477,0.9418748296074155,0.966487059259966
20,margin,0.95,0.15366189956665038,0.05002337540906966,0.9570093457943926,0.8597475455820477,0.9375464826128963,0.9732292800211759
20,entropy,0.5,2.301472421822701,0.5000467508181393,0.8012341062079282,0.8597475455820477,0.7917244916955826,0.811336974999111
20,entropy,0.6,2.3016855343230187,0.4,0.7856474988312295,0.8597475455820477,0.7734943691989923,0.7978633965368136
20,entropy,0.7,2.301876153556591,0.3000467508181393,0.770645060766594,0.8597475455820477,0.7564081783709755,0.784128413534066
20,entropy,0.8,2.302039375325929,0.2,0.7475455820476858,0.8597475455820477,0.7296462076402196,0.7689357622243528
20,entropy,0.9,2.3022117247176346,0.10004675081813932,0.6981308411214954,0.8597475455820477,0.6728254901577433,0.7255681080379172
