run_id,model_family,config_path,split,unseen_policy,recall@1,recall@3,recall@5,recall@10,macro_f1,weighted_f1,mrr@10,ndcg@10,head_recall@10,mid_recall@10,tail_recall@10,latency_p50_ms,latency_p95_ms,taxonomy_version,splits_version,splits_legacy_random_val,notes
20260505_212538_three_way_w_0p40_0p30_0p30,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_minmax.yaml,test,known_only,0.4370,0.6176,0.7043,0.8290,0.1491,0.4173,0.5536,0.6190,0.8522,0.5565,0.1346,0.0595,0.0716,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_minmax"
20260505_212616_three_way_w_0p40_0p40_0p20,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_minmax.yaml,test,known_only,0.4377,0.6219,0.7081,0.8305,0.1495,0.4180,0.5553,0.6207,0.8498,0.6190,0.1538,0.0591,0.0764,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_minmax"
20260505_212655_three_way_w_0p40_0p50_0p10,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_minmax.yaml,test,known_only,0.4400,0.6261,0.7104,0.8268,0.1494,0.4211,0.5569,0.6212,0.8409,0.6935,0.1923,0.0589,0.0723,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_minmax"
20260505_212734_three_way_w_0p50_0p30_0p20,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_minmax.yaml,test,known_only,0.4346,0.6139,0.7001,0.8176,0.1468,0.4154,0.5491,0.6129,0.8369,0.6042,0.1538,0.0590,0.0730,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_minmax"
20260505_212812_three_way_w_0p50_0p40_0p10,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_minmax.yaml,test,known_only,0.4353,0.6185,0.7023,0.8126,0.1454,0.4168,0.5500,0.6127,0.8280,0.6548,0.1923,0.0634,0.1064,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_minmax"
20260505_212852_three_way_w_0p00_0p60_0p40,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4061,0.6151,0.7075,0.8444,0.1489,0.3972,0.5372,0.6102,0.8729,0.4911,0.1154,0.0890,0.1378,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_212930_three_way_w_0p00_0p70_0p30,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4020,0.6127,0.7065,0.8495,0.1505,0.3954,0.5348,0.6095,0.8742,0.5565,0.1346,0.0858,0.1070,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213010_three_way_w_0p10_0p50_0p40,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4394,0.6290,0.7164,0.8480,0.1515,0.4193,0.5607,0.6289,0.8745,0.5238,0.1346,0.0871,0.1063,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213049_three_way_w_0p10_0p60_0p30,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4390,0.6310,0.7223,0.8526,0.1588,0.4217,0.5624,0.6313,0.8756,0.5863,0.1346,0.0900,0.1210,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213128_three_way_w_0p10_0p70_0p20,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4339,0.6334,0.7269,0.8565,0.1609,0.4189,0.5610,0.6313,0.8760,0.6458,0.1538,0.0862,0.1116,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
