run_id,model_family,config_path,split,unseen_policy,recall@1,recall@3,recall@5,recall@10,macro_f1,weighted_f1,mrr@10,ndcg@10,head_recall@10,mid_recall@10,tail_recall@10,latency_p50_ms,latency_p95_ms,taxonomy_version,splits_version,splits_legacy_random_val,notes
20260505_103930_retrieval_e5,retrieval,configs/encoder_ablation/_tmp_retrieval_rubert_tiny2.yaml,test,known_only,0.2064,0.3975,0.4987,0.6305,0.0957,0.2295,0.3285,0.4001,0.6303,0.6935,0.2500,3.3864,5.3699,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_104146_hybrid_weighted_score_minmax,hybrid,configs/encoder_ablation/_tmp_hybrid_rubert_tiny2.yaml,test,known_only,0.4103,0.5866,0.6607,0.7549,0.1426,0.4013,0.5175,0.5743,0.7630,0.6994,0.2500,1.2569,1.8342,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_111402_retrieval_e5,retrieval,configs/encoder_ablation/_tmp_retrieval_e5_small.yaml,test,known_only,0.3001,0.5145,0.6102,0.7522,0.1309,0.3159,0.4341,0.5096,0.7579,0.7440,0.1923,12.2662,14.5671,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_111627_retrieval_e5,retrieval,configs/encoder_ablation/_tmp_retrieval_e5_small.yaml,test,known_only,0.3001,0.5145,0.6102,0.7522,0.1309,0.3159,0.4341,0.5096,0.7579,0.7440,0.1923,10.9784,13.7253,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_112353_hybrid_weighted_score_minmax,hybrid,configs/encoder_ablation/_tmp_hybrid_e5_small.yaml,test,known_only,0.4368,0.6261,0.7074,0.8070,0.1476,0.4210,0.5520,0.6130,0.8155,0.7589,0.2115,1.3418,2.1647,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_112504_retrieval_e5,retrieval,configs/encoder_ablation/_tmp_retrieval_minilm_l12.yaml,test,known_only,0.2500,0.4506,0.5352,0.6485,0.1015,0.2647,0.3710,0.4373,0.6435,0.7679,0.4038,7.9585,11.6211,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_113244_hybrid_weighted_score_minmax,hybrid,configs/encoder_ablation/_tmp_hybrid_minilm_l12.yaml,test,known_only,0.4224,0.5969,0.6611,0.7349,0.1468,0.4075,0.5239,0.5747,0.7360,0.7649,0.4231,1.3045,2.0457,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_113354_retrieval_e5,retrieval,configs/encoder_ablation/_tmp_retrieval_e5_base.yaml,test,known_only,0.3062,0.5345,0.6305,0.7725,0.1371,0.3144,0.4462,0.5239,0.7776,0.7708,0.2500,7.6847,11.3169,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_115158_hybrid_weighted_score_minmax,hybrid,configs/encoder_ablation/_tmp_hybrid_e5_base.yaml,test,known_only,0.4334,0.6280,0.7091,0.8161,0.1591,0.4246,0.5520,0.6151,0.8231,0.7887,0.2500,1.3292,2.0460,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_115333_retrieval_e5,retrieval,configs/encoder_ablation/_tmp_retrieval_sbert_large_nlu_ru.yaml,test,known_only,0.2280,0.4159,0.5147,0.6492,0.1071,0.2496,0.3491,0.4202,0.6497,0.6875,0.3462,15.0083,20.0175,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_124146_hybrid_weighted_score_minmax,hybrid,configs/encoder_ablation/_tmp_hybrid_sbert_large_nlu_ru.yaml,test,known_only,0.4253,0.6017,0.6719,0.7596,0.1524,0.4123,0.5310,0.5859,0.7650,0.7262,0.4038,1.2423,1.8019,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_124426_retrieval_e5,retrieval,configs/encoder_ablation/_tmp_retrieval_e5_large.yaml,test,known_only,0.3301,0.5591,0.6524,0.7752,0.1491,0.3360,0.4679,0.5414,0.7777,0.8185,0.2308,14.2256,30.5088,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_135217_hybrid_weighted_score_minmax,hybrid,configs/encoder_ablation/_tmp_hybrid_e5_large.yaml,test,known_only,0.4448,0.6327,0.7121,0.8151,0.1582,0.4251,0.5600,0.6210,0.8208,0.8065,0.2692,1.3334,2.0318,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,
20260505_211722_three_way_w_0p00_0p60_0p40,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_minmax.yaml,test,known_only,0.4112,0.6158,0.7086,0.8436,0.1403,0.4010,0.5403,0.6124,0.8720,0.4911,0.1154,0.0604,0.0976,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_minmax"
20260505_211801_three_way_w_0p00_0p70_0p30,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_minmax.yaml,test,known_only,0.4068,0.6193,0.7109,0.8499,0.1477,0.3966,0.5392,0.6131,0.8745,0.5565,0.1346,0.0596,0.0780,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_minmax"
