topic_id,topic_name,count_total
a82d9b15,неубранная контейнерная площадка на придомовой территории многоквартирного дома,1330
c7d0ed8b,неубранная территория в парке города тулы,11
98c02140,"неубранные крупногабаритные отходы (кго) на территории контейнерной площадки на иных территориях муниципального образования, за исключением строительных отходов",576
be25ea2c,"неубранные крупногабаритные отходы (кго) на территории контейнерной площадки на придомовой территории многоквартирного дома, за исключением строительных отходов",538
b575e83c,"неубранные сосульки, наледи и снег, свисающие с крыши и карнизов многоквартирного дома",2570
52cb541a,"неубранные сосульки, наледи, снег, свисающие с крыши и карнизов зданий государственных и муниципальных учреждений",107
7bf3121d,неубранные твердые коммунальные отходы (в том числе крупногабаритные) на придомовой территории,412
3246c276,неубранные трупы животных,55
6739fb62,неубранные трупы животных на проезжей части,15
f7fb1954,неубранные упавшие (спиленные) деревья на придомовой территории многоквартирного дома,1506
a0bdf056,"неубранные упавшие (спиленные) деревья, ветки на проезжей части, остановках, тротуарах и по обочинам дорог",771
d813f7bc,неубранный мусор на иных территориях муниципального образования,4756
0ed2ea3f,"неубранный мусор на придомовой территории многоквартирного дома, в том числе крупногабаритный",6686
cf05e04c,"неубранный мусор на проезжей части, остановках, тротуарах и по обочинам дорог",2014
60fe3243,неубранный мусор на территории мемориального комплекса,22
91154048,"неубранный мусор, неочищенные урны в парках г. тулы",10
8052eac9,неубранный подъезд в многоквартирном доме,3602
87b4b7c8,неубранный снег на проезжей части,1
2702aefb,неудовлетворительное санитарное состояние в помещениях учреждений культуры,2
f996fb2c,неудовлетворительное санитарное состояние в санитарно-гигиенических узлах учреждения здравоохранения,10
e2d93526,неудовлетворительное санитарное состояние помещений учреждения здравоохранения,6
b5b9614c,"неудовлетворительное содержание временного ограждения строительной площадки, отсутствие строительного забора",23
1ffe3c30,неухоженный вид деревьев и кустарников в парке города тулы,2
8406dfae,"низкое напряжение в электросети, находящейся в зоне обслуживания ао «тгэс»",5
e858f3d9,"низкое напряжение в электросети, находящейся в зоне обслуживания филиала «тулэнерго» пао «мрск центра и приволжья»",208
cb73471e,обеспечение безбарьерной среды,9
14588d2b,обновление внешнего вида нечитаемого дорожного знака,157
105b9ae2,образование,97
6229e704,обращение №642,136
fb9117b9,обращение №646,82
7f173915,обращение №647,318
0d996c74,"обрыв проводов в населенном пункте, находящемся в зоне обслуживания филиала «тулэнерго» пао «мрск центра и приволжья»",38
8c04ecb4,общественное питание,6
5ff404bc,общественные пространства,15
2c0f2dcd,объекты культурного наследия,3
cb398253,ожидание приема врача в поликлинике по предварительной записи более часа,2
b191b690,оказание социальной помощи,25
21791f7e,"окос сорной растительности, травы вдоль пешеходных дорожек на территории муниципального образования",679
abad4b83,"окос сорной растительности, травы на обочинах автодорог",735
a3a1da03,"окос сорной растительности, травы на придомовой территории многоквартирного дома",2136
d6f1a16c,"окос сорной растительности, травы на территории мемориального комплекса",15
9ced573b,опиловка деревьев и уборка порубочных остатков в зоне обслуживания ао «тгэс»,2
bc2ce927,опиловка деревьев и уборка порубочных остатков в зоне обслуживания филиала «тулэнерго» пао «мрск центра и приволжья»,24
6e521e60,"опиловка деревьев, создающих угрозу повреждения конструкции многоквартирного дома, на придомовой территории",252
f2f5ea1c,опиловка и уборка веток деревьев зоне обслуживания электрической сети ао «тгэс»,40
0b4c00d7,оплата жилищно-коммунальных услуг,136
c4dfa102,"опломбировка приборов учета электроэнергии, находящихся на обслуживании филиала «тулэнерго» пао «мрск центра и приволжья»",1
1903f199,"организация профессиональной ориентации граждан в целях выбора сферы деятельности (профессии), трудоустройства, прохождения профессионального обучения и получения дополнительного профессионального образования",5
aadfbf02,освещение,314
2955b24f,остановка общественного транспорта в запрещенных местах,2
139f4af8,отказ в зачислении в общеобразовательное учреждение,11
6a4a1200,отказ в зачислении в первый класс общеобразовательного учреждения,2
74d1ba41,отказ в предоставлении экскурсионного обслуживания в музеях,1
8acdc25e,отлов безнадзорных животных,198
c01184ca,отопление,149
90960f81,отсутствие в расписании записи на прием нужного врача-специалиста,178
8481df23,"отсутствие водоснабжения в г. туле на сетях, находящихся на обслуживании ао «тулагорводоканал»",67
0c408d35,отсутствие возможности записи к врачу,14
1d694c6c,отсутствие возможности записи к врачу в связи с невозможностью дозвониться в медучреждение,30
7394962e,отсутствие замка на двери чердачного помещения,137
3d3cc8a2,отсутствие информации о расписании движения транспортных средств,142
c9044c71,отсутствие информационного щита на стройплощадке,23
eb253292,отсутствие карты в кабинете врача на начало приема при предварительной записи пациента,9
fe99e577,отсутствие крышки канализационного люка на автомобильной дороге,131
a7ac41c0,отсутствие крышки канализационного люка на иных территориях муниципального образования,246
a795c2bb,отсутствие крышки канализационного люка на придомовой территории многоквартирного дома,711
6bf8082c,отсутствие крышки ливневой канализации на автомобильной дороге,28
b4ec1f70,отсутствие крышки ливневой канализации на иных территориях муниципального образования,31
0cca4434,"отсутствие крышки люка на колодцах, находящихся на обслуживании ао «тулагорводоканал»",30
67f6768f,отсутствие освещения в ночное время на стройплощадке,12
d436360d,"отсутствие пассажирского транспортного средства в период, указанный в расписании",577
6c96aea9,отсутствие справочной информации на информационных стендах учреждений социального обслуживания,1
78bf9507,отсутствие холодного водоснабжения в многоквартирном доме,498
941d940b,"отсутствие элементов конструкции металлического дорожного ограждения, повреждение элементов конструкции металлических или железобетонных ограждений",19
b9eb27f0,отсутствует замок на входной двери в подвальное помещение многоквартирного дома,211
85050a59,отсутствует ледовое покрытие на стационарном катке,3
49ef2645,отсутствует отопление в государственных и муниципальных учреждениях,115
b471493f,отсутствует отопление в квартире в период начала отопительного периода,5945
0bba22d2,отсутствует отопление в учреждениях образования,35
250c4a45,отсутствует отопление в учреждениях социального обслуживания,1
9fccc580,отсутствует срочная запись на обследование при острой боли или остром заболевании,11
03aa7635,оформление ветеринарных сопроводительных документов,5
f62cc1a7,"оформление платежных документов по арендной плате за земельные участки, находящиеся в собственности тульской области, а также земельные участки, государственная собственность на которые не разграничена на территории муниципального образования г. тула",2
63d5bd9d,охота и рыболовство,5
2622c284,охрана окружающей среды,18
61e0c385,"очистка от снега парковочных карманов, остановочных площадок на проезжей части",1311
73ebcf67,очистка от снега пешеходных дорожек в парках города тулы,10
32494e99,"очистка от снега пешеходных дорожек в скверах, парках муниципальных образований",123
9b4259fd,очистка от снега пешеходных дорожек на территории зданий государственных учреждений,2
1f13c12b,очистка от снега пешеходных дорожек на территории мемориального комплекса,10
d79b7a9b,очистка от снега пешеходных дорожек на территориях государственных и муниципальных учреждений,111
784c4c3a,очистка от снега придомовой территории многоквартирного дома,9292
74aa930b,очистка от снега проезжей части и пешеходной зоны,19972
b88736dc,переселение из аварийного жилья,10
6a9c77e6,планировка обочин на автомобильной дороге регионального и межмуниципального значения на ремонтных участках,10
09e1ee65,подбор земельного участка для организации сельскохозяйственного производства,2
89ef1e0f,подтопление территорий,21
19f70276,покраска ограждений на территории мемориального комплекса,1
2700336a,"порыв, утечка во внутридомовой инженерной водопроводной сети многоквартирного дома",690
265be4ee,"постановка на учет и зачисление ребенка в образовательную организацию, реализующую программу дошкольного образования",7
ef6ea1af,потребительский рынок,3
d67b4bf2,"предоставление временного приюта лицам без определенного места жительства и гражданам, отбывшим наказание в виде лишения свободы",11
814d7d71,предпринимательство,3
ed5de22d,предпринимательство и потребительский рынок,8
fd850454,придомовая территория,1206
7bbd28a4,природные ресурсы,20
20cff0bc,проблемы возникающие при прохождении медицинских осмотров и диспансеризации детей и взрослых,53
ea12c9f6,"проблемы доступности малоподвижных граждан в медицинское учреждение (отсутствие парковки для инвалидов, отсутствие пандусов, неработающие лифты, необорудованные туалетные комнаты и прочее)",10
246012c6,проведение ветеринарно-санитарной экспертизы,1
4806b93b,проведение проверки содержания животных,6
02149da9,проверка наличия тяги в дымовых вентиляционных каналах многоквартирного дома,219
76e58745,"проверка приборов учета электроэнергии, принадлежащих ао «тгэс»",5
806dc9cb,"проверка приборов учета электроэнергии, принадлежащих потребителю, обслуживаемых филиалом «тулэнерго» пао «мрск центра и приволжья»",2
e7de9371,"проверка приборов учета электроэнергии, принадлежащих филиалу «тулэнерго» пао «мрск центра и приволжья»",14
b91b6215,проверка работы внутридомового и внутриквартирного газового оборудования (на территории города тулы),30
dff28854,"проверка работы внутридомового и внутриквартирного газового оборудования (на территории тульской области, кроме города тулы)",13
154effb2,"провисание проводов в населенном пункте, находящемся в зоне обслуживания ао «тгэс»",1
9a70aec0,"провисание проводов в населенном пункте, находящемся в зоне обслуживания филиала «тулэнерго» пао «мрск центра и приволжья»",5
02a9ae5b,продажа просроченных товаров,39
2e2fe774,промышленность,1
533d1ddd,"размер арендной платы по заключенным договорам аренды земельных участков, находящихся в собственности тульской области, а также земельных участков, государственная собственность на которые не разграничена на территории муниципального образования г. тула",1
d223fa3d,"разукомплектованное транспортное средство без государственных регистрационных номеров, имеющее признаки бесхозяйного брошенного имущества",35
abc32ead,реализация табачной продукции ближе 100 метров от образовательных учреждений,6
9fa1c484,ремонт и содержание (эксплуатация) учреждений,19
9bf8850c,ремонт неисправного внутридомового и внутриквартирного газового оборудования (на территории города тулы),6
5d4d60eb,"ремонт неисправного внутридомового и внутриквартирного газового оборудования (на территории тульской области, кроме города тулы)",10
53f1a17e,"ремонт трансформатора на объектах электроснабжения, находящихся на обслуживании филиала «тулэнерго» пао «мрск центра и приволжья»",8
91a994e4,"ремонт, восстановление знака «населенный пункт»",23
5622d5b2,"ремонт, восстановление знака обозначения места автобусной остановки",15
627156bd,"ремонт/замена упавшей опоры лэп, находящейся в зоне обслуживания филиала «тулэнерго» пао «мрск центра и приволжья»",21
2dca39aa,розничная продажа алкогольной и табачной продукции несовершеннолетним,2
079fa7a2,розничная продажа алкогольной продукции в период времени с 22 часов до 14 часов (в выходные и праздничные дни с 22 часов до 12 часов),23
ed8e2a50,санитарная и механизированная уборка автомобильной дороги в городе туле,655
d6991392,санитарное кронирование деревьев на территории мемориального комплекса,5
8a0a918d,санитарное состояние пассажирского транспортного средства,40
6c8f9232,сбор денежных средств в образовательных учреждениях,13
72b1b284,свалки на землях населенных пунктов,6
5579c312,связь,13
89039128,связь. интернет,55
3f9a4051,сельское хозяйство,8
249978f1,семейная и демографическая политика,4
66b8d363,семьи с детьми,24
a7f0b9c2,сломанные скамейки на территории мемориального комплекса,1
9b686f18,"смещение фаз (неравномерная нагрузка) в электрической сети, находящейся в зоне обслуживания ао «тгэс»",5
26c17d9b,"смещение фаз (неравномерная нагрузка) в электрической сети, находящейся в зоне обслуживания филиала «тулэнерго» пао «мрск центра и приволжья»",49
7b1b62e4,содействие в информировании граждан о положении на рынке труда тульской области,1
3033ad1a,содействие в направлении детей на профилактический осмотр в тульской области,1
07436efd,"содействие в обучении женщин, находящихся в отпуске по уходу за ребенком",2
40f023d3,содействие в оформлении в дом-интернат,2
65d16131,содействие несовершеннолетним детям в возрасте от 14 лет во временном трудоустройстве в соответствии с имеющимися в органах занятости населения вакансиями,3
447b9e0a,содержание газового оборудования,14
d1b67bee,содержание животных,14
1e10eae5,содержание и ремонт жилья,7561
4b4cdddb,содержание придомовой территории,1625
5fe2c62c,сообщить об отсутствии лекарств в государственном учреждении здравоохранения,6
32c4b34e,социальная защита,8
9dfe1892,спорт,4
57283f48,средства массовой информации,1
cfea00d2,строительство,42
f52f2c93,тарифы,4
decf1bbd,"телевидение, радио",4
2a319300,теплоснабжение,15
b43adc0c,территориальное общественное самоуправление,1
22692277,"технологическое присоединение к сетям электроснабжения, водоснабжения, теплоснабжения, газоснабжения, водоотведения",7
510b620a,топливно-энергетический комплекс,145
15a48061,торговля,90
98b3c8de,торговля продукцией животного происхождения без ветеринарно-сопроводительных документов,2
061b3100,транспортное обслуживание,869
694ce263,труд и занятость,5
f3743dac,туризм,2
6c5228f8,"уборка опавшей листвы на остановках, тротуарах",54
f30e39a8,"уборка упавших (спиленных) деревьев, веток на придомовой территории многоквартирного дома",581
dab5be1e,"уборка упавших (спиленных) деревьев, веток на проезжей части, остановках, тротуарах и по обочинам дорог",389
238b01c3,угроза обрыва проводов,218
5c693916,"угроза обрыва проводов лэп, находящейся в зоне обслуживания ао «тгэс»",13
aae8070d,"угроза обрыва проводов лэп, находящейся в зоне обслуживания филиала «тулэнерго» пао «мрск центра и приволжья»",52
6d2b2fbb,угроза обрыва проводов системы освещения,19
da8da407,угроза падения опоры лэп,113
eff54feb,"угроза падения опоры лэп, находящейся в зоне обслуживания ао «тгэс»",1
1cba039e,"угроза падения опоры лэп, находящейся в зоне обслуживания филиала «тулэнерго» пао «мрск центра и приволжья»",40
d7622789,угроза повреждения газопровода,27
0de4e363,угроза повреждения газопровода (на территории города тулы),1
472feecf,"угроза повреждения газопровода(на территории тульской области, кроме города тулы)",9
6c970bf5,угроза утечки газа в многоквартирном доме,19
1e9d563e,"утечка (порыв) на сетях водоотведения (канализации), находящихся на обслуживании ао «тулагорводоканал»",59
8a09dcc3,"утечка (порыв) на сетях водоснабжения, находящихся на обслуживании ао «тулагорводоканал»",56
2b110c9d,утечка во внутридомовой инженерной канализационной сети многоквартирного дома,1642
a59e0add,утечка во внутридомовой системе центрального отопления,326
bc0cc4e7,физическая культура и спорт,13
703c292b,формирующая обрезка кустарников на территории мемориального комплекса,4
2c671e6b,экология,86
6538d102,электроснабжение,1834
0ca08fcc,ямы на проезжей части города тулы,1581
